# wrapped
grid edge      |proportion     |time (secs)
1              |   0.5000000000|   0.0000703335
2              |   0.1250000000|   0.0012884140
3              |   0.2500000000|   0.0969145298
4              |   0.2728118896|  20.7280466557

############################################################
# unwrapped

# dead boundary
grid edge      |proportion     |time (secs)
1              |   0.5000000000|   0.0000946522
2              |   0.1250000000|   0.0010631084
3              |   0.3847656250|   0.0526430607
4              |   0.1779022217|  11.6375138760

superly # arbitrary boundary
grid edge      |proportion     |time (secs)
1              |   1.0000000000|   0.0560016632
2              |   1.0000000000|  12.0314927101
